workerid,proliferate.condition,audio_type,error
124,Shift40_bwd_ExpBlockC,over-ear,
128,Shift0_bwd_ExpBlockC,over-ear,
118,Shift0_fwd_ExpBlockC,in-ear,
135,Shift40_fwd_ExpBlockC,in-ear,
141,Shift40_fwd_ExpBlockC,over-ear,
139,Shift40_bwd_ExpBlockB,over-ear,
131,Shift40_bwd_ExpBlockB,in-ear,
134,Shift10_fwd_ExpBlockA,in-ear,
126,Shift10_fwd_ExpBlockA,over-ear,
147,Shift0_bwd_ExpBlockB,over-ear,
142,Shift0_bwd_ExpBlockB,over-ear,
140,Shift10_bwd_ExpBlockC,over-ear,
148,Shift0_bwd_ExpBlockA,over-ear,
146,Shift0_fwd_ExpBlockB,over-ear,
144,Shift40_fwd_ExpBlockB,over-ear,
138,Shift40_fwd_ExpBlockB,in-ear,
125,Shift0_fwd_ExpBlockA,in-ear,
119,Shift0_fwd_ExpBlockA,in-ear,
