workerid,proliferate.condition,autoAdvanceReady,error
124,Shift40_bwd_ExpBlockC,false,
128,Shift0_bwd_ExpBlockC,false,
118,Shift0_fwd_ExpBlockC,false,
135,Shift40_fwd_ExpBlockC,false,
141,Shift40_fwd_ExpBlockC,false,
139,Shift40_bwd_ExpBlockB,false,
131,Shift40_bwd_ExpBlockB,false,
134,Shift10_fwd_ExpBlockA,false,
126,Shift10_fwd_ExpBlockA,false,
147,Shift0_bwd_ExpBlockB,false,
142,Shift0_bwd_ExpBlockB,false,
140,Shift10_bwd_ExpBlockC,false,
148,Shift0_bwd_ExpBlockA,false,
146,Shift0_fwd_ExpBlockB,false,
144,Shift40_fwd_ExpBlockB,false,
138,Shift40_fwd_ExpBlockB,false,
125,Shift0_fwd_ExpBlockA,false,
119,Shift0_fwd_ExpBlockA,false,
