workerid,proliferate.condition,comments,error
124,Shift40_bwd_ExpBlockC,"Once again, this was a brilliant task, especially for the handsome compensation, please keep up the wonderful work!",
128,Shift0_bwd_ExpBlockC,,
118,Shift0_fwd_ExpBlockC,,
135,Shift40_fwd_ExpBlockC,N/A,
141,Shift40_fwd_ExpBlockC,,
139,Shift40_bwd_ExpBlockB,,
131,Shift40_bwd_ExpBlockB,,
134,Shift10_fwd_ExpBlockA,Thank you for not including political questions with your survey. It is the first one in about 50 that didn't ask a political question.,
126,Shift10_fwd_ExpBlockA,Interesting!,
147,Shift0_bwd_ExpBlockB,"The button for the word 'share' did not load, but luckily I was still able to click the space where it would be. Also, I enjoyed the study. Thank you!",
142,Shift0_bwd_ExpBlockB,I have nothing further to add here.,
140,Shift10_bwd_ExpBlockC,,
148,Shift0_bwd_ExpBlockA,,
146,Shift0_fwd_ExpBlockB,Towards the end I was really starting to doubt if I was hearing d's or t's right lol,
144,Shift40_fwd_ExpBlockB,,
138,Shift40_fwd_ExpBlockB,,
125,Shift0_fwd_ExpBlockA,,
119,Shift0_fwd_ExpBlockA,,
