workerid,proliferate.condition,cond_exp,error
124,Shift40_bwd_ExpBlockC,Shift40,
128,Shift0_bwd_ExpBlockC,Shift0,
118,Shift0_fwd_ExpBlockC,Shift0,
135,Shift40_fwd_ExpBlockC,Shift40,
141,Shift40_fwd_ExpBlockC,Shift40,
139,Shift40_bwd_ExpBlockB,Shift40,
131,Shift40_bwd_ExpBlockB,Shift40,
134,Shift10_fwd_ExpBlockA,Shift10,
126,Shift10_fwd_ExpBlockA,Shift10,
147,Shift0_bwd_ExpBlockB,Shift0,
142,Shift0_bwd_ExpBlockB,Shift0,
140,Shift10_bwd_ExpBlockC,Shift10,
148,Shift0_bwd_ExpBlockA,Shift0,
146,Shift0_fwd_ExpBlockB,Shift0,
144,Shift40_fwd_ExpBlockB,Shift40,
138,Shift40_fwd_ExpBlockB,Shift40,
125,Shift0_fwd_ExpBlockA,Shift0,
119,Shift0_fwd_ExpBlockA,Shift0,
