workerid,proliferate.condition,list_exp_block_order,error
124,Shift40_bwd_ExpBlockC,C,
128,Shift0_bwd_ExpBlockC,C,
118,Shift0_fwd_ExpBlockC,C,
135,Shift40_fwd_ExpBlockC,C,
141,Shift40_fwd_ExpBlockC,C,
139,Shift40_bwd_ExpBlockB,B,
131,Shift40_bwd_ExpBlockB,B,
134,Shift10_fwd_ExpBlockA,A,
126,Shift10_fwd_ExpBlockA,A,
147,Shift0_bwd_ExpBlockB,B,
142,Shift0_bwd_ExpBlockB,B,
140,Shift10_bwd_ExpBlockC,C,
148,Shift0_bwd_ExpBlockA,A,
146,Shift0_fwd_ExpBlockB,B,
144,Shift40_fwd_ExpBlockB,B,
138,Shift40_fwd_ExpBlockB,B,
125,Shift0_fwd_ExpBlockA,A,
119,Shift0_fwd_ExpBlockA,A,
