workerid,proliferate.condition,list_exp_materials,error
124,Shift40_bwd_ExpBlockC,A,
128,Shift0_bwd_ExpBlockC,A,
118,Shift0_fwd_ExpBlockC,A,
135,Shift40_fwd_ExpBlockC,A,
141,Shift40_fwd_ExpBlockC,A,
139,Shift40_bwd_ExpBlockB,A,
131,Shift40_bwd_ExpBlockB,A,
134,Shift10_fwd_ExpBlockA,A,
126,Shift10_fwd_ExpBlockA,A,
147,Shift0_bwd_ExpBlockB,A,
142,Shift0_bwd_ExpBlockB,A,
140,Shift10_bwd_ExpBlockC,A,
148,Shift0_bwd_ExpBlockA,A,
146,Shift0_fwd_ExpBlockB,A,
144,Shift40_fwd_ExpBlockB,A,
138,Shift40_fwd_ExpBlockB,A,
125,Shift0_fwd_ExpBlockA,A,
119,Shift0_fwd_ExpBlockA,A,
