workerid,proliferate.condition,rsrb.age,error
124,Shift40_bwd_ExpBlockC,54,
128,Shift0_bwd_ExpBlockC,51,
118,Shift0_fwd_ExpBlockC,30,
135,Shift40_fwd_ExpBlockC,45,
141,Shift40_fwd_ExpBlockC,24,
139,Shift40_bwd_ExpBlockB,41,
131,Shift40_bwd_ExpBlockB,20,
134,Shift10_fwd_ExpBlockA,43,
126,Shift10_fwd_ExpBlockA,44,
147,Shift0_bwd_ExpBlockB,,
142,Shift0_bwd_ExpBlockB,74,
140,Shift10_bwd_ExpBlockC,33,
148,Shift0_bwd_ExpBlockA,62,
146,Shift0_fwd_ExpBlockB,32,
144,Shift40_fwd_ExpBlockB,33,
138,Shift40_fwd_ExpBlockB,58,
125,Shift0_fwd_ExpBlockA,21,
119,Shift0_fwd_ExpBlockA,20,
