workerid,proliferate.condition,rsrb.raceother,error
124,Shift40_bwd_ExpBlockC,,
128,Shift0_bwd_ExpBlockC,,
118,Shift0_fwd_ExpBlockC,,
135,Shift40_fwd_ExpBlockC,,
141,Shift40_fwd_ExpBlockC,,
139,Shift40_bwd_ExpBlockB,,
131,Shift40_bwd_ExpBlockB,,
134,Shift10_fwd_ExpBlockA,,
126,Shift10_fwd_ExpBlockA,,
147,Shift0_bwd_ExpBlockB,,
142,Shift0_bwd_ExpBlockB,,
140,Shift10_bwd_ExpBlockC,,
148,Shift0_bwd_ExpBlockA,,
146,Shift0_fwd_ExpBlockB,,
144,Shift40_fwd_ExpBlockB,,
138,Shift40_fwd_ExpBlockB,,
125,Shift0_fwd_ExpBlockA,,
119,Shift0_fwd_ExpBlockA,,
