workerid,proliferate.condition,rsrb.sex,error
124,Shift40_bwd_ExpBlockC,Female,
128,Shift0_bwd_ExpBlockC,Female,
118,Shift0_fwd_ExpBlockC,Female,
135,Shift40_fwd_ExpBlockC,Female,
141,Shift40_fwd_ExpBlockC,Male,
139,Shift40_bwd_ExpBlockB,Male,
131,Shift40_bwd_ExpBlockB,Female,
134,Shift10_fwd_ExpBlockA,Male,
126,Shift10_fwd_ExpBlockA,Female,
147,Shift0_bwd_ExpBlockB,Male,
142,Shift0_bwd_ExpBlockB,Male,
140,Shift10_bwd_ExpBlockC,Male,
148,Shift0_bwd_ExpBlockA,Male,
146,Shift0_fwd_ExpBlockB,Male,
144,Shift40_fwd_ExpBlockB,Male,
138,Shift40_fwd_ExpBlockB,Female,
125,Shift0_fwd_ExpBlockA,Female,
119,Shift0_fwd_ExpBlockA,Female,
