workerid,proliferate.condition,userDateTime,error
124,Shift40_bwd_ExpBlockC,"Mon, 16 May 2022 23:52:39 GMT",
128,Shift0_bwd_ExpBlockC,"Mon, 16 May 2022 23:50:42 GMT",
118,Shift0_fwd_ExpBlockC,"Mon, 16 May 2022 23:36:28 GMT",
135,Shift40_fwd_ExpBlockC,"Tue, 17 May 2022 00:05:20 GMT",
141,Shift40_fwd_ExpBlockC,"Tue, 17 May 2022 00:18:57 GMT",
139,Shift40_bwd_ExpBlockB,"Tue, 17 May 2022 00:14:53 GMT",
131,Shift40_bwd_ExpBlockB,"Tue, 17 May 2022 00:25:40 GMT",
134,Shift10_fwd_ExpBlockA,"Tue, 17 May 2022 00:04:06 GMT",
126,Shift10_fwd_ExpBlockA,"Mon, 16 May 2022 23:44:54 GMT",
147,Shift0_bwd_ExpBlockB,"Tue, 17 May 2022 00:42:30 GMT",
142,Shift0_bwd_ExpBlockB,"Tue, 17 May 2022 00:33:39 GMT",
140,Shift10_bwd_ExpBlockC,"Tue, 17 May 2022 00:14:47 GMT",
148,Shift0_bwd_ExpBlockA,"Tue, 17 May 2022 00:53:01 GMT",
146,Shift0_fwd_ExpBlockB,"Tue, 17 May 2022 00:34:07 GMT",
144,Shift40_fwd_ExpBlockB,"Tue, 17 May 2022 00:30:22 GMT",
138,Shift40_fwd_ExpBlockB,"Tue, 17 May 2022 00:14:53 GMT",
125,Shift0_fwd_ExpBlockA,"Mon, 16 May 2022 23:47:20 GMT",
119,Shift0_fwd_ExpBlockA,"Mon, 16 May 2022 23:29:44 GMT",
