workerid,proliferate.condition,platform,error
273,Shift40_bwd_ExpBlockB,prolific,
363,Shift40_bwd_ExpBlockB,prolific,
303,Shift40_bwd_ExpBlockB,prolific,
374,Shift40_bwd_ExpBlockB,prolific,
206,Shift40_bwd_ExpBlockB,prolific,
297,Shift40_fwd_ExpBlockB,prolific,
241,Shift40_fwd_ExpBlockB,prolific,
185,Shift40_fwd_ExpBlockB,prolific,
389,Shift40_fwd_ExpBlockB,prolific,
196,Shift40_fwd_ExpBlockB,prolific,
279,Shift40_fwd_ExpBlockB,prolific,
261,Shift10_bwd_ExpBlockB,prolific,
271,Shift10_bwd_ExpBlockB,prolific,
289,Shift10_bwd_ExpBlockB,prolific,
331,Shift10_bwd_ExpBlockB,prolific,
361,Shift10_bwd_ExpBlockB,prolific,
195,Shift10_bwd_ExpBlockB,prolific,
315,Shift10_bwd_ExpBlockB,prolific,
165,Shift10_fwd_ExpBlockA,prolific,
254,Shift10_fwd_ExpBlockA,prolific,
330,Shift10_fwd_ExpBlockA,prolific,
306,Shift10_fwd_ExpBlockA,prolific,
231,Shift10_fwd_ExpBlockA,prolific,
319,Shift10_fwd_ExpBlockA,prolific,
353,Shift10_fwd_ExpBlockA,prolific,
270,Shift10_fwd_ExpBlockA,prolific,
193,Shift40_fwd_ExpBlockA,prolific,
340,Shift40_fwd_ExpBlockA,prolific,
209,Shift40_fwd_ExpBlockA,prolific,
228,Shift40_fwd_ExpBlockA,prolific,
313,Shift40_fwd_ExpBlockA,prolific,
204,Shift40_bwd_ExpBlockA,prolific,
277,Shift40_bwd_ExpBlockA,prolific,
269,Shift40_bwd_ExpBlockA,prolific,
220,Shift40_bwd_ExpBlockA,prolific,
321,Shift40_bwd_ExpBlockA,prolific,
174,Shift40_bwd_ExpBlockC,prolific,
262,Shift40_bwd_ExpBlockC,prolific,
372,Shift40_bwd_ExpBlockC,prolific,
359,Shift40_bwd_ExpBlockC,prolific,
345,Shift40_bwd_ExpBlockC,prolific,
376,Shift40_bwd_ExpBlockC,prolific,
384,Shift0_fwd_ExpBlockC,prolific,
176,Shift0_fwd_ExpBlockC,prolific,
375,Shift0_fwd_ExpBlockC,prolific,
329,Shift0_fwd_ExpBlockC,prolific,
181,Shift0_fwd_ExpBlockC,prolific,
388,Shift0_fwd_ExpBlockC,prolific,
154,Shift10_bwd_ExpBlockA,prolific,
327,Shift10_bwd_ExpBlockA,prolific,
349,Shift10_bwd_ExpBlockA,prolific,
326,Shift10_bwd_ExpBlockA,prolific,
246,Shift10_bwd_ExpBlockA,prolific,
229,Shift10_bwd_ExpBlockA,prolific,
282,Shift10_bwd_ExpBlockA,prolific,
286,Shift10_bwd_ExpBlockA,prolific,
307,Shift0_fwd_ExpBlockA,prolific,
336,Shift0_fwd_ExpBlockA,prolific,
356,Shift0_fwd_ExpBlockA,prolific,
256,Shift0_fwd_ExpBlockA,prolific,
211,Shift0_fwd_ExpBlockA,prolific,
304,Shift0_bwd_ExpBlockC,prolific,
233,Shift0_bwd_ExpBlockC,prolific,
260,Shift0_bwd_ExpBlockC,prolific,
357,Shift0_bwd_ExpBlockC,prolific,
346,Shift0_bwd_ExpBlockC,prolific,
169,Shift0_bwd_ExpBlockC,prolific,
167,Shift10_fwd_ExpBlockC,prolific,
238,Shift10_fwd_ExpBlockC,prolific,
203,Shift10_fwd_ExpBlockC,prolific,
281,Shift10_fwd_ExpBlockC,prolific,
180,Shift10_fwd_ExpBlockC,prolific,
335,Shift0_bwd_ExpBlockB,prolific,
227,Shift0_bwd_ExpBlockB,prolific,
295,Shift0_bwd_ExpBlockB,prolific,
348,Shift0_bwd_ExpBlockB,prolific,
201,Shift0_bwd_ExpBlockB,prolific,
155,Shift0_bwd_ExpBlockB,prolific,
187,Shift0_bwd_ExpBlockA,prolific,
251,Shift0_bwd_ExpBlockA,prolific,
259,Shift0_bwd_ExpBlockA,prolific,
339,Shift0_bwd_ExpBlockA,prolific,
177,Shift0_bwd_ExpBlockA,prolific,
354,Shift0_bwd_ExpBlockA,prolific,
317,Shift10_bwd_ExpBlockC,prolific,
334,Shift10_bwd_ExpBlockC,prolific,
392,Shift10_bwd_ExpBlockC,prolific,
164,Shift10_bwd_ExpBlockC,prolific,
175,Shift10_bwd_ExpBlockC,prolific,
156,Shift0_fwd_ExpBlockB,prolific,
347,Shift0_fwd_ExpBlockB,prolific,
245,Shift0_fwd_ExpBlockB,prolific,
160,Shift0_fwd_ExpBlockB,prolific,
179,Shift0_fwd_ExpBlockB,prolific,
205,Shift40_fwd_ExpBlockC,prolific,
395,Shift40_fwd_ExpBlockC,prolific,
243,Shift40_fwd_ExpBlockC,prolific,
390,Shift40_fwd_ExpBlockC,prolific,
373,Shift40_fwd_ExpBlockC,prolific,
296,Shift10_fwd_ExpBlockB,prolific,
232,Shift10_fwd_ExpBlockB,prolific,
393,Shift10_fwd_ExpBlockB,prolific,
189,Shift10_fwd_ExpBlockB,prolific,
338,Shift10_fwd_ExpBlockB,prolific,
