filename,vowel,f0_5ms_into_vowel,f0_10ms_into_vowel,f0_15ms_into_vowel,f0_20ms_into_vowel,f0_25ms_into_vowel,f0_30ms_into_vowel
diptip_VOT-100_F0242,0.12573496291171837,240.22375747149837,239.62316223927823,238.9494032597439,238.17259403108275,237.27755888441925,236.34869129752218
diptip_VOT-90_F0243,0.12854278688186382,241.00679063800354,240.41450545480262,239.7611462713439,238.97032604129038,238.11174896268253,237.21702914568286
diptip_VOT-80_F0243,0.12408324820611472,241.04585301058643,240.43325830534593,239.69732749271623,238.89720228365493,238.03261362743643,237.1251099122405
diptip_VOT-70_F0244,0.1257300062882296,241.97603313833304,241.37149757310027,240.6509491443763,239.82809451128912,238.90113180958,237.93212174228552
diptip_VOT-60_F0244,0.12500361934192505,242.08470855459987,241.45251445033412,240.70345766994353,239.87816368554525,238.96162561050534,237.974190590976
diptip_VOT-50_F0244,0.12587739857847868,242.04007297060363,241.40518969114893,240.67257827499563,239.84460466460024,238.9140899414931,237.9424126022453
diptip_VOT-40_F0245,0.12595308179769082,242.71824988068414,242.1482177457018,241.48014663501783,240.65223543381046,239.73903845201383,238.74821781249784
diptip_VOT-30_F0245,0.12687186399059458,242.8922064145784,242.34839655253913,241.62452268261643,240.7978003480246,239.86838720208215,238.8676610833559
diptip_VOT-20_F0245,0.1250700619230738,242.77998451265316,242.19744304615824,241.4777745066611,240.65040604445394,239.72103333266594,238.73472079965464
diptip_VOT-15_F0245,0.12674975780609543,242.5221974362868,241.8276473777956,240.73489198028037,239.43896535975549,237.93012799308377,236.28522240096117
diptip_VOT-10_F0246,0.1262027258455829,243.3054405913865,242.79666291384137,242.16825899919743,241.36525853858961,240.45372290851122,239.4580365638601
diptip_VOT-5_F0246,0.12231903017617363,243.2642389479053,242.24610080423582,240.94180607073724,239.4231875671216,237.71106127643716,235.95865247649596
diptip_VOT0_F0246,0.1286186743414408,243.6061598588868,242.95051567166414,242.26095177901857,241.45289086871517,240.51075431131875,239.4990789771872
diptip_VOT5_F0246,0.12866984223067846,244.20759375478823,243.58341760678817,242.91200692115848,242.05038207503023,241.06818308986757,240.040642563462
diptip_VOT10_F0247,0.12755163723934526,244.6720119822753,243.5153288235529,242.2591199273656,240.92003929606014,239.39989053351016,237.78943459856583
diptip_VOT15_F0247,0.12314242814242782,243.36176379178414,243.0161963004693,242.0502215466804,240.84207232652346,239.4217505885266,237.88567258346043
diptip_VOT20_F0247,0.12320247496362047,244.57867528557617,243.80753561481103,242.87242688421313,241.57506137357524,240.0919293138449,238.45813632194023
diptip_VOT25_F0247,0.11843372611906489,244.6242269015087,243.3939991591719,241.99598812515117,240.44977618666655,238.82013272974845,237.13182304454148
diptip_VOT30_F0247,0.11849231622473422,244.88440867918322,243.89867187801994,242.51011016335312,240.88818919771168,239.16625767659022,237.39430343722532
diptip_VOT35_F0247,0.11597507303221555,245.55095086835453,244.39399409143633,242.91217260637396,241.3126968640117,239.6458186324361,237.90617433822467
diptip_VOT40_F0248,0.11767826333431941,245.54975211643062,244.68363218072744,243.28068156007822,241.69041444138546,239.97735351168762,238.19961527688196
diptip_VOT45_F0248,0.11762353040906603,246.06995044628835,245.32001394401829,243.91596135855775,242.31265907542078,240.59233190864737,238.80899111420698
diptip_VOT50_F0248,0.11225416805313948,246.77688740798564,245.94459621471384,244.88399524726623,243.3292406684919,241.5635878825487,239.71320540855376
diptip_VOT55_F0248,0.10939713998880407,245.7118965522326,244.33152781539752,242.67676269947577,240.79796611165824,238.8532708792532,236.89051151450252
diptip_VOT60_F0248,0.10831624219935954,246.0977984966142,244.95641627377006,243.3792673380115,241.5735691346321,239.6586628601072,237.68324733864543
diptip_VOT65_F0249,0.10934057310074863,246.99562847088987,245.5505454163664,244.03607469620005,242.30217368161183,240.39611677318752,238.39569874702354
diptip_VOT70_F0249,0.10424515807511092,246.95739808570266,246.1484318187985,244.96857178523146,243.60241237787207,241.99929550703808,240.28247710163546
diptip_VOT75_F0249,0.10383320463320445,247.19417045790166,246.1895599638349,244.98808171491856,243.4900914382637,241.79285142317644,240.03665892402827
diptip_VOT80_F0249,0.10221738870987096,247.27300968151073,246.42448610647224,245.10751674291689,243.57507201095265,241.86250327164893,240.04702496527833
diptip_VOT85_F0249,0.10517205712694455,247.86639911004607,246.7601319590174,245.41488112623136,243.7946737843967,242.00117401452798,240.05782094549647
diptip_VOT90_F0250,0.10115249433106577,247.78233087802394,246.73665901354377,245.2892057894298,243.65472558220364,241.78851652457828,239.77792599887928
diptip_VOT95_F0250,0.09789902489636226,248.35924567654087,247.10836699610226,245.7626387196523,244.12516544143352,242.31191053304806,240.40762147265104
diptip_VOT100_F0250,0.0944813135130591,248.36377283585296,247.20877114924167,245.86725763089734,244.2224118474814,242.35263277979732,240.31935890940622
diptip_VOT105_F0250,0.09521858880004253,249.04451604264358,248.03157527100217,246.95072446105715,245.65734063655202,244.22177142575256,242.6053281301536
diptip_VOT110_F0250,0.09218525505440311,248.750678936598,247.81742498106297,246.5994152951592,245.24410251378868,243.70194065909777,242.03280167422014
diptip_VOT115_F0250,0.09418586800773454,249.23248197734551,248.30540057550002,246.9992941900962,245.4751982013728,243.7643891364417,241.92947774349
diptip_VOT120_F0251,0.08962654535498338,249.0396461932975,248.06845451336852,246.8393588717101,245.46704146175585,243.87286938422605,242.15292300014488
diptip_VOT125_F0251,0.0925178708410268,249.9342854554344,248.85817529391386,247.66332291673945,246.1870213016419,244.53406853199348,242.65021867584284
diptip_VOT130_F0251,0.08978266152482561,249.9192955265169,248.89746924765043,247.76033434082748,246.2420190508542,244.50780798467412,242.6617701416804
